symbol,date,open,high,low,close,volume
AAPL,2024-03-22 12:34:00,172.375,172.388,172.2,172.22,140185
AAPL,2024-03-22 12:33:00,172.405,172.425,172.34,172.37,74000
AAPL,2024-03-22 12:32:00,172.445,172.5,172.4,172.409,50804
AAPL,2024-03-22 12:31:00,172.42,172.45,172.4,172.445,49806
AAPL,2024-03-22 12:30:00,172.365,172.5,172.365,172.43,76619
AAPL,2024-03-22 12:29:00,172.191,172.41,172.191,172.365,101114
AAPL,2024-03-22 12:28:00,172.238,172.238,172.15,172.2,88158
AAPL,2024-03-22 12:27:00,172.28,172.299,172.22,172.23,70554
AAPL,2024-03-22 12:26:00,172.29,172.356,172.27,172.28,56601
AAPL,2024-03-22 12:25:00,172.335,172.35,172.25,172.281,76267
AAPL,2024-03-22 12:24:00,172.338,172.375,172.33,172.33,61969
AAPL,2024-03-22 12:23:00,172.445,172.45,172.32,172.335,90816
AAPL,2024-03-22 12:22:00,172.51,172.52,172.42,172.445,70306
AAPL,2024-03-22 12:21:00,172.51,172.53,172.48,172.51,70641
AAPL,2024-03-22 12:20:00,172.53,172.54,172.5,172.515,59488
AAPL,2024-03-22 12:19:00,172.51,172.55,172.48,172.525,68398
AAPL,2024-03-22 12:18:00,172.52,172.525,172.44,172.505,95939
AAPL,2024-03-22 12:17:00,172.58,172.59,172.495,172.525,121138
AAPL,2024-03-22 12:16:00,172.65,172.69,172.565,172.57,76378
AAPL,2024-03-22 12:15:00,172.69,172.7,172.62,172.66,77525
AAPL,2024-03-22 12:14:00,172.605,172.69,172.59,172.682,78864
AAPL,2024-03-22 12:13:00,172.595,172.649,172.58,172.61,76404
AAPL,2024-03-22 12:12:00,172.6,172.64,172.55,172.59,94190
AAPL,2024-03-22 12:11:00,172.661,172.67,172.59,172.595,79256
AAPL,2024-03-22 12:10:00,172.64,172.67,172.57,172.666,91746
AAPL,2024-03-22 12:09:00,172.568,172.66,172.555,172.64,72064
AAPL,2024-03-22 12:08:00,172.545,172.62,172.541,172.565,79375
AAPL,2024-03-22 12:07:00,172.635,172.655,172.53,172.55,94104
AAPL,2024-03-22 12:06:00,172.6,172.67,172.56,172.64,56073
AAPL,2024-03-22 12:05:00,172.67,172.71,172.595,172.598,133579
AAPL,2024-03-22 12:04:00,172.65,172.699,172.58,172.665,97775
AAPL,2024-03-22 12:03:00,172.875,172.875,172.65,172.66,130596
AAPL,2024-03-22 12:02:00,172.8,172.9,172.8,172.87,145459
AAPL,2024-03-22 12:01:00,172.71,172.83,172.706,172.81,93001
AAPL,2024-03-22 12:00:00,172.59,172.71,172.581,172.71,68641
AAPL,2024-03-22 11:59:00,172.571,172.65,172.571,172.59,83336
AAPL,2024-03-22 11:58:00,172.565,172.59,172.526,172.56,64737
AAPL,2024-03-22 11:57:00,172.56,172.62,172.505,172.56,126042
AAPL,2024-03-22 11:56:00,172.78,172.78,172.49,172.55,150504
AAPL,2024-03-22 11:55:00,172.61,172.88,172.565,172.775,297950
AAPL,2024-03-22 11:54:00,172.51,172.65,172.51,172.609,86495
AAPL,2024-03-22 11:53:00,172.608,172.665,172.504,172.515,138571
AAPL,2024-03-22 11:52:00,172.59,172.615,172.54,172.608,129412
AAPL,2024-03-22 11:51:00,172.45,172.61,172.44,172.591,210470
AAPL,2024-03-22 11:50:00,172.345,172.46,172.34,172.455,87436
AAPL,2024-03-22 11:49:00,172.395,172.447,172.34,172.345,109006
AAPL,2024-03-22 11:48:00,172.415,172.435,172.385,172.395,134912
AAPL,2024-03-22 11:47:00,172.39,172.44,172.389,172.42,116890
AAPL,2024-03-22 11:46:00,172.305,172.38,172.305,172.38,61565
AAPL,2024-03-22 11:45:00,172.3,172.33,172.25,172.31,63577
AAPL,2024-03-22 11:44:00,172.365,172.38,172.285,172.31,68043
AAPL,2024-03-22 11:43:00,172.34,172.385,172.26,172.37,69938
AAPL,2024-03-22 11:42:00,172.35,172.365,172.29,172.335,53191
AAPL,2024-03-22 11:41:00,172.265,172.35,172.255,172.345,74305
AAPL,2024-03-22 11:40:00,172.185,172.295,172.18,172.265,74876
AAPL,2024-03-22 11:39:00,172.11,172.21,172.07,172.204,60818
AAPL,2024-03-22 11:38:00,172.19,172.19,172.08,172.11,56356
AAPL,2024-03-22 11:37:00,172.125,172.22,172.07,172.18,88171
AAPL,2024-03-22 11:36:00,172.301,172.31,172.07,172.126,112518
AAPL,2024-03-22 11:35:00,172.277,172.36,172.268,172.31,100987
AAPL,2024-03-22 11:34:00,172.25,172.32,172.19,172.274,103052
AAPL,2024-03-22 11:33:00,172.274,172.274,172.23,172.24,83891
AAPL,2024-03-22 11:32:00,172.312,172.34,172.211,172.27,91430
AAPL,2024-03-22 11:31:00,172.27,172.38,172.26,172.315,78622
AAPL,2024-03-22 11:30:00,172.27,172.36,172.252,172.28,123629
AAPL,2024-03-22 11:29:00,172.27,172.31,172.233,172.26,97037
AAPL,2024-03-22 11:28:00,172.309,172.39,172.26,172.27,101943
AAPL,2024-03-22 11:27:00,172.425,172.426,172.3,172.31,94511
AAPL,2024-03-22 11:26:00,172.527,172.55,172.39,172.42,250090
AAPL,2024-03-22 11:25:00,172.445,172.54,172.44,172.527,215220
AAPL,2024-03-22 11:24:00,172.38,172.46,172.35,172.445,95557
AAPL,2024-03-22 11:23:00,172.345,172.42,172.33,172.38,91662
AAPL,2024-03-22 11:22:00,172.25,172.43,172.24,172.346,191698
AAPL,2024-03-22 11:21:00,172.215,172.25,172.16,172.25,108962
AAPL,2024-03-22 11:20:00,172.21,172.22,172.205,172.209,115612
AAPL,2024-03-22 11:19:00,172.286,172.32,172.21,172.215,107726
AAPL,2024-03-22 11:18:00,172.295,172.33,172.28,172.289,97502
AAPL,2024-03-22 11:17:00,172.32,172.345,172.26,172.295,96796
AAPL,2024-03-22 11:16:00,172.215,172.32,172.21,172.32,104851
AAPL,2024-03-22 11:15:00,172.255,172.28,172.21,172.215,87309
AAPL,2024-03-22 11:14:00,172.3,172.31,172.225,172.255,82380
AAPL,2024-03-22 11:13:00,172.196,172.3,172.085,172.295,191220
AAPL,2024-03-22 11:12:00,172.19,172.285,172.18,172.19,101107
AAPL,2024-03-22 11:11:00,172.166,172.24,172.16,172.185,103810
AAPL,2024-03-22 11:10:00,172.077,172.17,172.07,172.165,76227
