,hash,ver,bits,fee,nonce,size,block_index,main_chain,height,weight
88,000000000000000000011cd883f4eab93cece29e83c1697894199da09c8d693b,1073676288,386216622,17511121,2594233720,1899015,806894,True,806894,3993003
89,000000000000000000051aa59a9225180c7dd9515ec9e78162dc1f005a9e7346,608075776,386216622,24324862,2958563885,1461702,806893,True,806893,3997524
90,000000000000000000049d20d0f49a286ae883b26c5516236da0575d26603c0a,690585600,386216622,16947585,1903284918,1977256,806892,True,806892,3993424
91,00000000000000000002eb318465b5d1f60cf8e859a5611e56d53c067a70efed,536903680,386216622,19593659,2497524576,1926702,806891,True,806891,3993363
92,000000000000000000033a16369eed93290be8095c2c235e2f358edbb16624d7,638148608,386216622,23310429,2610978392,1573608,806890,True,806890,3992691
93,00000000000000000000d36cc275890ff7104758f535dabf211e54cc21b2049b,672022528,386216622,17526529,1602159932,2020308,806889,True,806889,3992694
94,00000000000000000001c776a74c0c6a190559f4cbe1b8730ba7c5af4926e84f,541065216,386216622,17006574,1561671196,1949193,806888,True,806888,3993198
95,0000000000000000000020abcc68b13faf24df946cf0c72bbe4647e352ebbe3a,711008256,386216622,20704221,2501932840,1774033,806887,True,806887,3992905
96,00000000000000000002be569963f99f74097c86d918e370e05d7be6c2a5899b,728334336,386216622,27047045,73226346,1462391,806886,True,806886,3992834
97,00000000000000000000470a5a87bfeffae001032eac0e156b4e21943c51fbd5,594665472,386216622,28327597,2392407553,1582066,806885,True,806885,3993628
98,0000000000000000000117d745d928b7536ee73f46b51efc28208aee4bbd898d,757063680,386216622,23054841,1000294520,1625462,806884,True,806884,3993317
99,00000000000000000003267675118b412e902703fbc9a3dcfbf894e7e831a92a,815325184,386216622,17126283,994053651,1970456,806883,True,806883,3997886
100,00000000000000000004ba38b176869a6624f3b452233c7abab65ad2f745da57,536887296,386216622,17072960,39716426,2028039,806882,True,806882,3993396
101,000000000000000000008aa2b5b71b7fd2e841a134c831379c4213d4576bf861,695304192,386216622,15806489,2942652776,1904384,806881,True,806881,3993347
102,00000000000000000002a2e71aa50cac55744728af582ae5e588ebd19a4dd157,536969216,386216622,18305871,1277201874,1426477,806880,True,806880,3993403
103,0000000000000000000313c7bfd17d8c7e98bfdb4efdb0fd9f66af049bfaa180,585359360,386216622,21790368,3268401440,1504172,806879,True,806879,3992987
104,00000000000000000000c90d5a58eeef82576ed88aba3217d7c8837555f62641,563281920,386216622,26558476,3795820140,1429952,806878,True,806878,3992972
105,000000000000000000023c40ede8b4b65a71479289a1ceebac323fe0064a8ea6,542818304,386216622,18954042,2705103029,2015043,806877,True,806877,3993393
